test,distance [m],V photodiode [V], Sitting status success [T/F],Present status success [T/F]
114,0.734482759,3.792766373,1,1
115,0.699827586,3.900293255,1,1
116,0.726034483,3.787878788,1,1
117,0.695517241,3.787878788,1,1
118,0.699655172,3.89540567,1,1
119,0.721724138,3.900293255,1,1
120,0.708103448,3.685239492,1,1
121,0.743103448,3.797653959,1,1
122,0.699655172,3.80742913,1,1
123,0.703965517,3.875855327,1,1
124,0.742068966,3.768328446,1,1
125,0.742931034,3.787878788,1,1
126,0.699655172,3.758553275,1,1
127,0.738793103,3.900293255,1,1
128,0.712413793,3.826979472,1,1
129,0.734482759,3.66568915,1,1
130,0.721034483,3.778103617,1,1
131,0.703965517,3.890518084,1,1
132,0.747413793,3.89540567,1,1
133,0.708275862,3.71945259,1,1
134,0.699655172,3.792766373,1,1
135,0.738793103,3.846529814,1,1
136,0.737758621,3.905180841,1,1
137,0.738793103,3.822091887,1,1
138,0.699655172,3.792766373,1,1
139,0.751551724,3.787878788,1,1
140,0.699827586,3.80742913,1,1
141,0.738793103,3.885630499,1,1
142,0.721896552,3.802541544,1,1
143,0.699655172,3.739002933,1,1
144,0.708275862,3.797653959,1,1
145,0.699655172,3.76344086,1,1
146,0.737758621,3.670576735,1,1
147,0.734482759,3.787878788,1,1
148,0.703965517,3.836754643,1,1
149,0.734482759,3.890518084,1,1
150,0.695517241,3.802541544,1,1
151,0.703965517,3.787878788,1,1
152,0.726034483,3.831867058,1,1
153,0.703965517,3.836754643,1,1
154,0.699827586,3.802541544,1,1
155,0.699827586,3.797653959,1,1
156,0.743103448,3.792766373,1,1
157,0.738793103,3.89540567,1,1
158,0.703965517,3.797653959,1,1
159,0.738793103,3.797653959,1,1
160,0.734482759,3.870967742,1,1
161,0.730172414,3.778103617,1,1
162,0.729310345,3.880742913,1,1
163,0.699827586,3.826979472,1,1
164,0.708275862,3.782991202,1,1
165,0.721896552,3.660801564,1,1
166,0.708275862,3.734115347,1,1
167,0.699655172,3.861192571,1,1
168,0.737758621,3.787878788,1,1
169,0.738793103,3.753665689,1,1
170,0.703965517,3.709677419,1,1
171,0.734655172,3.826979472,1,1
172,0.721724138,3.890518084,1,1
173,0.743103448,3.76344086,1,1
174,0.738793103,3.782991202,1,1
175,0.730172414,3.778103617,1,1
176,0.695517241,3.900293255,1,1
177,0.699655172,3.831867058,1,1
178,0.738793103,3.734115347,1,1
179,0.738793103,3.768328446,1,1
180,0.721724138,3.826979472,1,1
181,0.734482759,3.802541544,1,1
182,0.730172414,3.695014663,1,1
183,0.734655172,3.782991202,1,1
184,0.691206897,3.836754643,1,1
185,0.703793103,3.768328446,1,1
186,0.699655172,3.792766373,1,1
187,0.699655172,3.675464321,1,1
188,0.712413793,3.822091887,1,1
189,0.721724138,3.787878788,1,1
190,0.734482759,3.734115347,1,1
191,0.695517241,3.699902248,1,1
192,0.703448276,3.695014663,1,1
193,0.712413793,3.890518084,1,1
194,0.712586207,3.905180841,1,1
195,0.695517241,3.773216031,1,1
196,0.734482759,3.782991202,1,1
197,0.730344828,3.841642229,1,1
198,0.734482759,3.905180841,1,1
199,0.734482759,3.71945259,1,1
200,0.734482759,3.778103617,1,1
