test,distance [m],V photodiode [V], Sitting status success [T/F],Present status success [T/F]
417,1.063275862,3.709677419,1,1
418,1.084827586,3.753665689,1,1
419,1.055862069,3.704789834,1,1
420,1.08137931,3.787878788,1,1
421,1.068793103,3.660801564,1,1
422,1.072931034,3.699902248,1,1
423,1.089137931,3.773216031,1,1
424,1.072931034,3.782991202,1,1
425,1.081551724,3.695014663,1,1
426,1.072241379,3.685239492,1,1
427,1.072241379,3.558162268,1,1
428,1.089137931,3.71945259,1,1
429,1.060172414,3.802541544,1,1
430,1.098448276,3.563049853,1,1
431,1.060344828,3.685239492,1,1
432,1.055862069,3.602150538,1,1
433,1.097586207,3.748778104,1,1
434,1.085689655,3.817204301,1,1
435,1.08137931,3.646138807,1,1
436,1.077241379,3.699902248,1,1
437,1.073103448,3.558162268,1,1
438,1.088103448,3.778103617,1,1
439,1.064310345,3.826979472,1,1
440,1.060172414,3.602150538,1,1
441,1.085689655,3.66568915,1,1
442,1.088103448,3.758553275,1,1
443,1.064482759,3.817204301,1,1
444,1.059482759,3.758553275,1,1
445,1.06362069,3.739002933,1,1
446,1.059310345,3.597262952,1,1
447,1.072241379,3.704789834,1,1
448,1.072931034,3.822091887,1,1
449,1.055172414,3.812316716,1,1
450,1.094137931,3.563049853,1,1
451,1.08137931,3.548387097,1,1
452,1.072931034,3.690127077,1,1
453,1.072931034,3.675464321,1,1
454,1.077241379,3.655913978,1,1
455,1.080517241,3.680351906,1,1
456,1.055862069,3.543499511,1,1
457,1.063448276,3.680351906,1,1
458,1.064482759,3.714565005,1,1
459,1.077241379,3.636363636,1,1
460,1.050862069,3.592375367,1,1
461,1.076034483,3.685239492,1,1
462,1.059310345,3.787878788,1,1
463,1.06362069,3.57771261,1,1
464,1.068793103,3.704789834,1,1
465,1.06862069,3.71945259,1,1
466,1.08137931,3.753665689,1,1
467,1.059310345,3.797653959,1,1
468,1.081551724,3.626588465,1,1
469,1.064482759,3.724340176,1,1
470,1.077241379,3.748778104,1,1
471,1.064482759,3.80742913,1,1
472,1.072931034,3.655913978,1,1
473,1.06862069,3.655913978,1,1
474,1.072931034,3.655913978,1,1
475,1.071206897,3.626588465,1,1
476,1.084827586,3.739002933,1,1
477,1.072931034,3.611925709,1,1
478,1.08137931,3.704789834,1,1
479,1.101896552,3.753665689,1,1
480,1.050862069,3.836754643,1,1
481,1.055,3.753665689,1,1
482,1.06862069,3.704789834,1,1
483,1.050862069,3.597262952,1,1
484,1.055,3.778103617,1,1
485,1.055172414,3.856304985,1,1
486,1.055172414,3.641251222,1,1
487,1.055,3.675464321,1,1
488,1.063793103,3.611925709,1,1
489,1.093448276,3.734115347,1,1
490,1.076206897,3.836754643,1,1
491,1.06362069,3.714565005,1,1
492,1.059482759,3.729227761,1,1
493,1.097586207,3.743890518,1,1
494,1.064482759,3.797653959,1,1
495,1.075344828,3.699902248,1,1
496,1.060172414,3.743890518,1,1
497,1.059310345,3.739002933,1,1
498,1.055862069,3.76344086,1,1
499,1.076206897,3.71945259,1,1
500,1.08137931,3.695014663,1,1
501,1.064482759,3.743890518,1,1
502,1.055,3.71945259,1,1
503,1.060172414,3.792766373,1,1
504,1.077068966,3.846529814,1,1
505,1.07637931,3.76344086,1,1
506,1.06362069,3.57771261,1,1
507,1.068448276,3.699902248,1,1
508,1.064482759,3.646138807,1,1
509,Inf,3.71945259,1,1
510,1.055344828,3.714565005,1,1
511,1.101896552,3.709677419,1,1
512,1.097586207,3.690127077,1,1
513,1.055172414,3.685239492,1,1
514,1.06362069,3.71945259,1,1
515,1.072068966,3.739002933,1,1
516,1.055172414,3.836754643,1,1
517,1.063448276,3.80742913,1,1
518,1.059482759,3.709677419,1,1
519,1.06362069,3.729227761,1,1
520,1.07637931,3.66568915,1,1
521,1.079655172,3.729227761,1,1
522,1.07637931,3.802541544,1,1
523,1.059310345,3.846529814,1,1
524,1.050862069,3.611925709,1,1
525,1.07637931,3.695014663,1,1
526,1.055172414,3.57771261,1,1
527,1.085,3.734115347,1,1
528,1.055172414,3.841642229,1,1
529,1.050862069,3.792766373,1,1
530,1.063793103,3.704789834,1,1
531,1.134827586,3.71945259,1,1
532,1.072931034,3.753665689,1,1
533,1.076034483,3.680351906,1,1
534,1.060172414,3.856304985,1,1
535,1.055,3.792766373,1,1
536,1.06362069,3.714565005,1,1
537,1.055172414,3.71945259,1,1
538,1.072068966,3.680351906,1,1
539,1.055172414,3.695014663,1,1
540,1.051034483,3.695014663,1,1
541,1.056034483,3.675464321,1,1
542,1.060172414,3.76344086,1,1
543,1.085689655,3.699902248,1,1
544,1.055862069,3.670576735,1,1
545,1.08137931,3.558162268,1,1
546,1.072931034,3.699902248,1,1
547,1.064482759,3.739002933,1,1
548,1.06362069,3.8514174,1,1
549,1.06862069,3.655913978,1,1
550,1.080689655,3.616813294,1,1
551,1.075344828,3.729227761,1,1
552,1.060172414,3.724340176,1,1
553,1.046551724,3.758553275,1,1
554,1.06362069,3.836754643,1,1
555,1.063448276,3.729227761,1,1
556,1.121896552,3.729227761,1,1
557,1.059310345,3.76344086,1,1
558,1.055,3.831867058,1,1
559,1.075344828,3.582600196,1,1
560,1.055172414,3.743890518,1,1
561,1.055172414,3.739002933,1,1
562,1.084827586,3.724340176,1,1
563,1.063793103,3.758553275,1,1
564,1.088103448,3.734115347,1,1
565,1.072931034,3.57771261,1,1
566,1.072931034,3.699902248,1,1
567,1.055172414,3.778103617,1,1
568,1.072241379,3.680351906,1,1
569,1.088103448,3.71945259,1,1
570,1.092241379,3.66568915,1,1
571,1.105,3.690127077,1,1
572,1.055172414,3.846529814,1,1
573,1.077068966,3.836754643,1,1
574,1.060172414,3.582600196,1,1
575,1.056034483,3.62170088,1,1
576,1.08137931,3.680351906,1,1
577,1.083793103,3.773216031,1,1
578,1.072241379,3.724340176,1,1
579,1.080517241,3.743890518,1,1
580,1.084827586,3.636363636,1,1
581,1.064482759,3.80742913,1,1
582,1.087931034,3.76344086,1,1
583,1.059310345,3.739002933,1,1
584,1.089137931,3.695014663,1,1
585,1.096551724,3.743890518,1,1
586,1.07637931,3.758553275,1,1
587,1.080517241,3.773216031,1,1
588,1.059310345,3.57771261,1,1
589,1.080517241,3.734115347,1,1
590,1.088965517,3.729227761,1,1
591,1.059310345,3.743890518,1,1
592,1.06362069,3.690127077,1,1
593,1.080517241,3.714565005,1,1
594,1.054827586,3.768328446,1,1
595,1.083793103,3.724340176,1,1
596,1.072068966,3.592375367,1,1
597,1.055172414,3.660801564,1,1
598,1.072068966,3.631476051,1,1
599,1.059482759,3.729227761,1,1
600,1.059310345,3.841642229,1,1
601,1.084827586,3.631476051,1,1
602,1.114482759,3.641251222,1,1
603,1.072068966,3.651026393,1,1
604,1.062758621,3.76344086,1,1
605,1.06362069,3.890518084,1,1
606,1.080517241,3.76344086,1,1
607,1.114482759,3.773216031,1,1
608,1.072068966,3.704789834,1,1
609,1.127241379,3.866080156,1,1
610,1.059310345,3.846529814,1,1
611,1.072068966,3.602150538,1,1
612,1.059310345,3.71945259,1,1
613,1.088103448,3.685239492,1,1
614,1.063448276,3.797653959,1,1
615,1.055172414,3.841642229,1,1
616,1.072068966,3.62170088,1,1
617,1.055172414,3.597262952,1,1
618,1.076206897,3.655913978,1,1
619,1.092413793,3.773216031,1,1
620,1.06362069,3.812316716,1,1
621,1.071206897,3.699902248,1,1
622,1.075344828,3.670576735,1,1
623,1.088103448,3.822091887,1,1
624,1.05,3.870967742,1,1
625,1.083103448,3.753665689,1,1
626,1.104482759,3.626588465,1,1
627,1.049137931,3.792766373,1,1
628,1.070172414,3.861192571,1,1
629,1.053275862,3.846529814,1,1
630,1.077758621,3.782991202,1,1
631,1.078793103,3.773216031,1,1
632,1.070344828,3.699902248,1,1
633,1.07,3.870967742,1,1
634,1.083103448,3.914956012,1,1
635,1.074482759,3.822091887,1,1
636,1.061724138,3.797653959,1,1
637,1.070344828,3.670576735,1,1
638,1.117068966,3.768328446,1,1
639,Inf,3.80742913,1,1
640,1.128793103,3.685239492,1,1
641,1.112068966,3.782991202,1,1
642,1.053448276,3.797653959,1,1
643,1.069310345,3.914956012,1,1
644,1.128793103,3.743890518,1,1
645,1.078793103,3.690127077,1,1
646,1.104482759,3.743890518,1,1
647,1.049137931,3.880742913,1,1
648,1.053448276,3.787878788,1,1
649,1.070172414,3.690127077,1,1
650,1.053275862,3.66568915,1,1
651,1.070344828,3.699902248,1,1
652,1.077758621,3.890518084,1,1
653,1.116034483,3.787878788,1,1
654,1.103448276,3.812316716,1,1
655,1.083103448,3.758553275,1,1
656,1.112068966,3.802541544,1,1
657,1.048965517,3.778103617,1,1
658,1.083103448,3.885630499,1,1
659,1.057586207,3.817204301,1,1
660,1.053275862,3.690127077,1,1
661,1.083103448,3.802541544,1,1
662,1.053275862,3.787878788,1,1
663,1.049310345,3.787878788,1,1
664,1.057586207,3.817204301,1,1
665,1.091724138,3.758553275,1,1
666,1.107758621,3.875855327,1,1
667,1.070344828,3.836754643,1,1
668,1.095,3.758553275,1,1
669,1.057758621,3.797653959,1,1
670,1.104310345,3.758553275,1,1
671,1.090862069,3.685239492,1,1
672,1.074655172,3.866080156,1,1
673,1.053275862,3.89540567,1,1
674,1.083103448,3.875855327,1,1
675,1.112758621,3.680351906,1,1
676,1.074655172,3.76344086,1,1
677,1.053275862,3.787878788,1,1
678,1.106724138,3.939393939,1,1
679,1.078965517,3.699902248,1,1
